1,2,14,48,85,49
1,3,13,67,10,30
1,5,24,57,17,32
1,6,12,10,18,13
1,8,39,78,17,44
2,2,85,54,83,74
2,3,12,10,18,13
2,5,90,68,79,79
2,6,10,80,25,38
2,9,28,58,57,47
3,4,10,80,25,38
3,7,99,57,60,72
4,2,39,78,17,44
4,3,10,80,25,38
4,5,70,71,94,78
4,8,32,51,81,54
4,9,34,10,55,33
5,2,90,68,79,79
5,3,87,40,54,60
5,6,11,68,12,30
5,8,42,28,28,32
5,9,44,89,18,50
6,4,50,100,10,53
6,7,98,35,95,76
7,2,92,67,84,81
7,5,42,77,94,71
7,6,98,35,95,76
7,8,11,97,66,58
7,9,18,32,12,20
8,3,50,100,10,53
8,5,42,28,28,32
8,6,94,53,11,52
8,8,29,78,19,42
8,9,64,94,16,58
9,1,77,16,90,61
10,2,70,71,94,78
10,3,11,68,12,30
10,5,75,40,85,66
10,6,67,70,84,73
10,8,27,86,41,51
11,2,64,10,96,56
11,3,30,31,65,42
11,5,86,36,76,66
11,6,26,36,63,41
11,9,55,35,46,45
12,4,94,53,11,52
12,7,23,50,73,48
13,2,23,81,21,41
13,3,78,96,100,91
13,5,97,20,81,66
13,8,19,84,52,51
13,9,36,83,88,69
14,2,60,28,56,48
14,3,98,35,95,76
14,6,23,50,73,48
14,8,84,11,61,52
14,9,88,58,25,57
15,4,67,70,84,73
15,7,40,66,18,41
16,2,32,51,81,54
16,5,27,86,41,51
16,6,33,57,93,61
16,8,65,88,68,73
16,9,88,62,43,64
17,3,10,36,19,21
17,5,20,49,65,44
17,6,11,22,50,27
17,8,30,60,20,36
17,9,57,58,86,67
18,1,28,58,57,47
19,2,33,14,81,42
19,3,41,55,55,50
19,5,21,64,49,44
19,6,83,18,73,58
19,8,86,44,34,54
20,2,42,28,28,32
20,3,67,70,84,73
20,5,87,45,23,51
20,6,42,79,61,60
20,9,42,32,12,28
21,4,23,50,73,48
21,7,60,78,46,61
22,2,86,19,92,65
22,3,26,36,63,41
22,5,19,23,57,33
22,8,69,87,53,69
22,9,41,83,47,57
23,2,59,81,48,62
23,3,91,14,33,46
23,6,55,23,15,31
23,8,85,40,43,56
23,9,100,87,97,94
24,4,33,57,93,61
24,7,16,85,100,67
25,2,75,40,85,66
25,5,51,81,93,75
25,6,31,78,24,44
25,8,61,37,75,57
25,9,15,41,86,47
26,3,60,51,91,67
26,5,40,71,27,46
26,6,35,29,68,44
26,8,37,71,35,47
26,9,37,69,31,45
27,1,71,91,27,63
28,2,11,97,66,58
28,3,23,50,73,48
28,5,55,84,91,76
28,6,16,85,100,67
28,8,23,65,22,36
29,2,82,75,41,66
29,3,85,34,35,51
29,5,16,68,95,59
29,6,39,57,50,48
29,9,39,75,81,65
30,4,42,79,61,60
30,7,79,20,44,47
31,2,22,37,67,42
31,3,30,20,61,37
31,5,30,58,13,33
31,8,56,57,69,60
31,9,87,49,44,60
32,2,29,78,19,42
32,3,33,57,93,61
32,6,81,73,76,76
32,8,90,81,78,83
32,9,15,67,34,38
33,4,70,87,68,75
33,7,39,59,74,57
34,2,42,59,13,38
34,5,61,24,70,51
34,6,78,78,60,72
34,8,75,82,81,79
34,9,66,95,64,75
35,3,40,66,18,41
35,5,45,18,53,38
35,6,79,20,44,47
35,8,26,19,95,46
35,9,14,86,32,44
36,1,34,10,55,33
37,2,28,30,94,50
37,3,50,85,95,76
37,5,42,50,88,60
37,6,55,95,71,73
37,8,30,19,36,28
38,2,31,96,71,66
38,3,83,18,73,58
38,5,50,87,40,59
38,6,74,66,42,60
38,9,51,47,53,50
39,4,35,29,68,44
39,7,56,61,85,67
40,2,27,86,41,51
40,3,42,79,61,60
40,5,61,37,75,57
40,8,78,80,78,78
40,9,25,84,12,40
41,2,66,91,32,63
41,3,75,18,64,52
41,6,11,26,89,42
41,8,32,88,54,58
41,9,39,61,83,61
42,4,16,85,100,67
42,7,93,80,32,68
43,2,42,60,44,48
43,5,78,12,31,40
43,6,56,78,90,74
43,8,70,64,22,52
43,9,46,69,84,66
44,3,70,87,68,75
44,5,17,63,61,47
44,6,16,31,76,41
44,8,57,58,94,69
44,9,84,46,92,74
45,1,44,89,18,50
