0,10,2016-3-1,45.04283001387367
0,10,2016-7-1,45.04283001387367
0,10,2016-11-1,45.04283001387367
1,10,2016-3-2,95.48279092984818
1,10,2016-7-2,95.48279092984818
1,10,2016-11-2,95.48279092984818
2,10,2016-3-3,8.452073573486164
2,10,2016-7-3,8.452073573486164
2,10,2016-11-3,8.452073573486164
3,10,2016-3-4,10.510164244461052
3,10,2016-7-4,10.510164244461052
3,10,2016-11-4,10.510164244461052
4,10,2016-3-5,24.32460950114177
4,10,2016-7-5,24.32460950114177
4,10,2016-11-5,24.32460950114177
5,10,2016-3-6,5.298420220032163
5,10,2016-7-6,5.298420220032163
5,10,2016-11-6,5.298420220032163
6,10,2016-3-7,47.66387178238796
6,10,2016-7-7,47.66387178238796
6,10,2016-11-7,47.66387178238796
7,10,2016-3-8,82.78060292224019
7,10,2016-7-8,82.78060292224019
7,10,2016-11-8,82.78060292224019
8,10,2016-3-9,1.8550677543574756
8,10,2016-7-9,1.8550677543574756
8,10,2016-11-9,1.8550677543574756
9,10,2016-3-10,4.562548173771564
9,10,2016-7-10,4.562548173771564
9,10,2016-11-10,4.562548173771564
