0,14,2016-3-1,23.58837743087173
0,14,2016-7-1,23.58837743087173
0,14,2016-11-1,23.58837743087173
1,14,2016-3-2,37.192069721091315
1,14,2016-7-2,37.192069721091315
1,14,2016-11-2,37.192069721091315
2,14,2016-3-3,71.24268788686503
2,14,2016-7-3,71.24268788686503
2,14,2016-11-3,71.24268788686503
3,14,2016-3-4,94.24442079624504
3,14,2016-7-4,94.24442079624504
3,14,2016-11-4,94.24442079624504
4,14,2016-3-5,24.323428823975
4,14,2016-7-5,24.323428823975
4,14,2016-11-5,24.323428823975
5,14,2016-3-6,73.40556193383215
5,14,2016-7-6,73.40556193383215
5,14,2016-11-6,73.40556193383215
6,14,2016-3-7,39.10261118896084
6,14,2016-7-7,39.10261118896084
6,14,2016-11-7,39.10261118896084
7,14,2016-3-8,97.31414468560182
7,14,2016-7-8,97.31414468560182
7,14,2016-11-8,97.31414468560182
8,14,2016-3-9,61.818543742350506
8,14,2016-7-9,61.818543742350506
8,14,2016-11-9,61.818543742350506
9,14,2016-3-10,50.36594964342367
9,14,2016-7-10,50.36594964342367
9,14,2016-11-10,50.36594964342367
